Day,Lab Test,Confirmed case,Death Case
2020-September-19,13170,1567,32
2020-September-20,11591,1544,26
2020-September-21,13053,1705,40
2020-September-22,14164,1557,28
2020-September-23,14150,1666,37
2020-September-24,12900,1540,28
2020-September-25,12473,1383,21
2020-September-26,10765,1106,36
2020-September-27,10685,1275,32
2020-September-28,11922,1407,32
2020-September-29,12869,1488,26
2020-September-30,13404,1436,32
2020-October-01,11420,1508,21
2020-October-02,11176,1396,33
2020-October-03,9554,1182,20
2020-October-04,9859,1125,23
2020-October-05,11767,1442,27
2020-October-06,12345,1499,30
2020-October-07,13032,1520,35
2020-October-08,12605,1441,20
2020-October-09,11256,1278,17
2020-October-10,10859,1203,23
2020-October-11,9467,1193,24
2020-October-12,13227,1472,31
2020-October-13,13815,1537,22
2020-October-14,14411,1684,16
2020-October-15,14104,1600,15
2020-October-16,13577,1527,15
2020-October-17,11573,1209,23
2020-October-18,11866,1274,14
2020-October-19,15146,1637,21
2020-October-20,13611,1380,18
2020-October-21,14086,1545,24
2020-October-22,14958,1696,24
2020-October-23,14119,1586,14
2020-October-24,10998,1094,19
2020-October-25,11103,1308,23
2020-October-26,13758,1436,15
2020-October-27,12617,1335,20
2020-October-28,12357,1493,23
2020-October-29,14268,1681,25
2020-October-30,14141,1604,19
2020-October-31,11532,1320,18
2020-November-01,12549,1568,18
2020-November-02,12891,1736,25
2020-November-03,14061,1659,17
2020-November-04,13914,1517,21
2020-November-05,15225,1842,17
2020-November-06,13521,1469,15
2020-November-07,11419,1289,13
2020-November-08,12760,1474,18
2020-November-09,14042,1683,25
2020-November-10,13520,1699,16
2020-November-11,14524,1733,19
2020-November-12,17112,1845,13
2020-November-13,13539,1767,19
2020-November-14,11795,1531,14
2020-November-15,14060,1837,21
2020-November-16,15768,2139,21
2020-November-17,15990,2212,39
2020-November-18,16469,2111,21
2020-November-19,17531,2364,30
2020-November-20,15607,2275,17
2020-November-21,12643,1847,28
2020-November-22,13870,2060,38
2020-November-23,16059,2419,28
2020-November-24,15018,2230,32
2020-November-25,16001,2156,39
2020-November-26,17052,2292,37
2020-November-27,16378,2273,20
2020-November-28,14012,1908,36
2020-November-29,13737,1788,29
2020-November-30,15372,2525,35
2020-December-01,15501,2293,31
2020-December-02,15972,2198,38
2020-December-03,16807,2316,35
2020-December-04,15430,2252,24
2020-December-05,13540,1888,35
2020-December-06,13218,1666,31
2020-December-07,14369,2198,36
2020-December-08,17084,2202,32
2020-December-09,17042,2159,24
2020-December-10,16265,1861,37
2020-December-11,16323,1884,19
2020-December-12,12630,1329,34
2020-December-13,12748,1355,32
2020-December-14,16828,1799,37
2020-December-15,19054,1877,40
2020-December-16,17025,1632,27
2020-December-17,13191,1134,36
2020-December-18,14336,1318,25
2020-December-19,12300,1267,25
2020-December-20,13316,1153,38
2020-December-21,15669,1470,32
2020-December-22,15145,1318,17
2020-December-23,15932,1367,30
2020-December-24,13227,1234,19
2020-December-25,13695,1163,20
2020-December-26,9912,834,30
2020-December-27,12650,1049,24
2020-December-28,12617,932,27
2020-December-29,14588,1181,30
2020-December-30,15229,1235,22
2020-December-31,13254,1014,28
2021-January-01,12103,990,17
2021-January-02,9701,684,23
2021-January-03,10925,835,27
2021-January-04,12096,910,24
2021-January-05,14462,991,20
2021-January-06,15544,978,17
2021-January-07,15381,1007,31
2021-January-08,13681,785,16
2021-January-09,12908,692,22
2021-January-10,12920,1071,25
2021-January-11,14097,849,22
2021-January-12,14363,718,16
2021-January-13,15727,890,14
2021-January-14,16608,813,16
2021-January-15,13678,762,13
2021-January-16,12215,578,21
2021-January-17,13446,569,23
2021-January-18,12707,697,16
2021-January-19,15097,702,20
2021-January-20,15410,656,8
2021-January-21,14761,584,16
2021-January-22,14846,619,15
2021-January-23,11115,436,22
2021-January-24,14169,473,20
2021-January-25,14829,602,18
